recommendationid,author,language,review,timestamp_created,timestamp_updated,voted_up,votes_up,votes_funny,weighted_vote_score,comment_count,steam_purchase,received_for_free,written_during_early_access
110940222,"{'steamid': '76561198265778734', 'num_games_owned': 42, 'num_reviews': 3, 'playtime_forever': 602, 'playtime_last_two_weeks': 0, 'playtime_at_review': 298, 'last_played': 1646416224}",koreana,아이템 어디다 숨겼노,1645767048,1645767048,True,0,0,0.454545468091964722,0,True,False,False
110928057,"{'steamid': '76561198214402045', 'num_games_owned': 547, 'num_reviews': 169, 'playtime_forever': 9977, 'playtime_last_two_weeks': 5810, 'playtime_at_review': 193, 'last_played': 1647581391}",koreana,엘든링 엘든링 엘든링 엘든링 엘든링 엘든링 엘든링 엘든링 엘든링,1645758058,1645758058,True,0,1,0.454545468091964722,0,True,False,False
111498533,"{'steamid': '76561198353503228', 'num_games_owned': 57, 'num_reviews': 15, 'playtime_forever': 6600, 'playtime_last_two_weeks': 4408, 'playtime_at_review': 6600, 'last_played': 1646885674}",koreana,프레임드랍이 아직까지 존재하지만 그 이상의 문제는 거의 나타나지 않고 있음 버그 등 게임 자체는 물론 프롬겜답게 재밌지만 스콜라를 연상케 하는 몹 배치 잡몹 보스 모두 가 다소 아쉬운 편 난이도는 솔플 지향 유저라면 이전까지의 소울류에 비해 확실히 올라갔음이 체감되지만 영체 시스템 덕분에 솔플로도 멀티에 가까운 환경에서 플레이할 수 있어서 이러한 난이도 문제를 해결했다는 것이 상당히 좋은 것 같다 아직 안 산 사람이면 세일하면 사면 좋을 듯,1646376506,1646961861,True,0,0,0.453183501958847046,0,True,False,False
111339748,"{'steamid': '76561198096621510', 'num_games_owned': 41, 'num_reviews': 1, 'playtime_forever': 2142, 'playtime_last_two_weeks': 1462, 'playtime_at_review': 662, 'last_played': 1647332227}",koreana,이 개같은 망겜 프롬억빠하는 러지들이 그냥 무지성으로 우왕 해서 뜬게임 프레임드랍은 기본이고 키 씹힘 니들이 말하는 선입력 하나밖에없다 대체적으로 구르기등 그리고 오픈월드식 탐험요소는 좋다고 보는데 무슨 길을 미로로 다 쳐만들어놔서 도 찾기 힘들다 이건 즐길 사람들이면 즐길순 있음 근데 난 아님 그리고 상호작용하는곳에 메세지 남겨놓는 어머잃은련들이 있는데 그거 꼬우면 오프라인 모드로 하라나 뭐라나 그냥 그걸 따로 안 볼수 있게 만들어 놓으면 안됨 그냥 ,1646178843,1646178843,False,2,0,0.4530201256275177,0,True,False,False
111220745,"{'steamid': '76561198111853782', 'num_games_owned': 15, 'num_reviews': 1, 'playtime_forever': 629, 'playtime_last_two_weeks': 33, 'playtime_at_review': 57, 'last_played': 1646790649}",koreana,시발 멋모르고 샀다가 트리가드땜에 환불했다,1646031846,1646031846,False,0,2,0.4530201256275177,0,False,False,False
111376626,"{'steamid': '76561198433679321', 'num_games_owned': 22, 'num_reviews': 1, 'playtime_forever': 414, 'playtime_last_two_weeks': 0, 'playtime_at_review': 414, 'last_played': 1646225669}",koreana,구린 조작감 미친 발적화,1646226139,1646226139,False,2,0,0.45267486572265625,0,True,False,False
111193687,"{'steamid': '76561199246412678', 'num_games_owned': 1, 'num_reviews': 1, 'playtime_forever': 16, 'playtime_last_two_weeks': 0, 'playtime_at_review': 14, 'last_played': 1645998567}",koreana,개병신같은 게임 돈주고 샀더니 화이트 스크린 만 시간째 병신같은 새 끼들이 최적화 개좆으로 해놓음 왠만한 그래픽카드로 절대 에서 할 생각 돈은 돈대로 날리고 오류 해결하는 법 알아보느라 시간은 시간대로 날림 아 시 발 노재팬 동참해라,1645997591,1645997591,False,1,0,0.452210217714309692,0,True,False,False
111242519,"{'steamid': '76561198152572195', 'num_games_owned': 47, 'num_reviews': 27, 'playtime_forever': 47, 'playtime_last_two_weeks': 0, 'playtime_at_review': 47, 'last_played': 1645944819}",koreana,쫌 씨발 만들다 만거 갖다 팔지 마라,1646061586,1646061586,False,2,0,0.452054768800735474,0,False,False,False
111297409,"{'steamid': '76561198294284028', 'num_games_owned': 684, 'num_reviews': 103, 'playtime_forever': 7385, 'playtime_last_two_weeks': 2285, 'playtime_at_review': 2826, 'last_played': 1647370167}",koreana,처음엔 재밌지만 후반으로 갈수록 같아진다 오픈월드 가 단점으로 다가온다 어디 에서 플레이 를해야할지몰라 어려운대서 플레이하고 쉬운곳을가면 너무쉬워서 온전한 재미를 느끼질 못하겠다 전부 그렇진 않지만 어려운 패턴이 아닌 좆같은 패턴 들이 많다 그래서 패턴가챠를해야 클리어하는 보스들이 있다 뒤로갈수록 잡았다 개새끼 가아닌 좆같은새끼 이제야 잡네 가 된다 특이 최종보스는 뭔 생각으로 쳐 만들었는지를 모르겠다,1646132876,1646845555,False,0,0,0.452013015747070313,0,True,False,False
110927554,"{'steamid': '76561198065006673', 'num_games_owned': 525, 'num_reviews': 153, 'playtime_forever': 5788, 'playtime_last_two_weeks': 3277, 'playtime_at_review': 117, 'last_played': 1647659439}",koreana,오랫동안 기다려왔던 엘든링입니다 기대했던 만큼이나 상당히 즐겁게 플레이하고 있습니다 우선 걱정했던 사양은 생각보다 괜찮아서 다행입니다 지포스 램 으로도 꽤나 수월하게 돌릴 수 있더군요 심지어 프레임도 잘 나옵니다 물론 보통설정 기준입니다 갓 오브 워도 돌아가더니 아직은 이 구닥다리 그래픽 카드를 더 혹사시킬 수 있겠군요 단 로딩속도가 흠이라서 에 설치해서 완화시켜줘야 했습니다 참고로 각 컴퓨터마다 편차가 있다는 소리를 들었습니다 최고의 사양인데도 버벅인,1645757645,1646801110,True,10,0,0.451962411403656006,5,True,False,False
